order_id,order_date,region,channel,customer_id,customer_type,sales_rep,category,product,qty,discount,status,unit_price,revenue,cost
ORD-100488,2024-11-01,JKT ,Online,C01110,Retail,SYS-ONLINE,Laptop,Laptop Veno 13,1,0.0,Completed,6200000.0,6200000.0,5620900.0
ORD-100489,2024-11-01,Jawa Barat,Offline,C00115,Retail,SR04,Smartphone,Smartphone Lumo X,1,0.0,Completed,5500000.0,5500000.0,4808000.0
ORD-100490,2024-11-01,Jakarta,Offline,C00037,UMKM,SR03,Laptop,Laptop Axio 14,4,0.0,Completed,8500000.0,34000000.0,30138400.0
ORD-100491,2024-11-01,Jawa Timur,Offline,C00415,Retail,SR09,Aksesoris,Headset USB H3,5,0.0,Completed,350000.0,1750000.0,1056500.0
ORD-100492,2024-11-01,Jawa Barat,Online,C00731,UMKM,SYS-ONLINE,Smartphone,Smartphone Lumo A5,4,0.05,Completed,2800000.0,10640000.0,9657200.0
ORD-100493,2024-11-01,Jawa Timur,Offline,C00567,UMKM,SR08,Peralatan Kantor,Kertas A4 80gsm (rim),10,0.0,Completed,55000.0,550000.0,375000.0
ORD-100761,2024-12-01,Jakarta,Offline,K0091,Korporat,SR03,Laptop,Laptop Veno 13,4,0.0,Completed,6200000.0,24800000.0,22396400.0
ORD-100762,2024-12-01,Jakarta,Offline,C00163,Retail,SR02,Smartphone,Smartphone Lumo A5,1,0.1,Completed,2800000.0,2520000.0,2442400.0
ORD-100763,2024-12-01,Jakarta,Offline,K0155,Korporat,SR02,Aksesoris,Headset USB H3,13,0.0,Completed,350000.0,4550000.0,2733900.0
ORD-100764,2024-12-01,Kalimantan,Offline,C00476,Retail,SR13,LAPTOP,Laptop Axio Pro 15,1,0.05,Completed,13000000.0,12350000.0,11643400.0
ORD-100765,2024-12-01,,Online,C02230,Retail,SYS-ONLINE,Aksesoris,Keyboard Mekanik K7,2,0.05,Completed,650000.0,1235000.0,789800.0
ORD-100766,2024-12-01,Sulawesi,Offline,C00457,UMKM,SR18,Peralatan Kantor,Kertas A4 80gsm (rim),6,0.05,Completed,55000.0,313500.0,225000.0
ORD-100767,2024-12-01,Jakarta,Offline,C00859,UMKM,SR02,Smartphone,Smartphone Lumo A5,1,0.05,Completed,2800000.0,2660000.0,2458000.0
ORD-100768,2024-12-01,Jawa Timur,Offline,C01146,UMKM,SR07,Aksesoris,Power Bank 20000mAh,3,0.0,Completed,320000.0,960000.0,607200.0
ORD-100769,2024-12-01,kalimantan,Offline,C00521,Retail,SR15,Peralatan Kantor,Kursi Ergonomis E1,4,0.0,Completed,1900000.0,7600000.0,5123600.0
ORD-100770,2024-12-01,Jakarta,Offline,C02091,Retail,SR02,Printer & Tinta,Printer InkJet P200,1,0.1,Completed,2100000.0,1890000.0,1701600.0
ORD-100012,2024-09-02,Jakarta,Online,C00278,UMKM,SYS-ONLINE,Peralatan Kantor,Kertas A4 80gsm (rim),2,0.15,Completed,55000.0,93500.0,76600.0
ORD-100013,2024-09-02,Sumatera,Offline,C00954,UMKM,SR11,Aksesoris,Headset USB H3,10,0.0,Completed,350000.0,3500000.0,2130000.0
ORD-100014,2024-09-02,Jawa Barat,Offline,C01329,UMKM,SR05,Peralatan Kantor,Kursi Ergonomis E1,6,0.0,Completed,1900000.0,11400000.0,7766400.0
ORD-100015,2024-09-02,Jawa Timur,Offline,C00927,Retail,SR08,Printer & Tinta,Printer InkJet P200,2,0.05,Completed,2100000.0,3990000.0,3402400.0
ORD-100016,2024-09-02,Jawa Barat,Offline,K0089,Korporat,SR04,Networking,Router WiFi 6 R600,30,0.0,Completed,1200000.0,36000000.0,
ORD-100017,2024-09-02,Jakarta,Offline,C00364,Retail,SR02,Peralatan Kantor,Kursi Ergonomis E1,3,0.05,Completed,1900000.0,5415000.0,3905700.0
ORD-100017,2024-09-02,Jakarta,Offline,C00364,Retail,SR02,Peralatan Kantor,Kursi Ergonomis E1,3,0.05,Completed,1900000.0,5415000.0,3905700.0
ORD-100246,2024-10-02,Jawa Barat,Offline,C01304,Retail,SR04,Laptop,Laptop Veno 13,2,0.0,Completed,6200000.0,12400000.0,10935200.0
ORD-100247,2024-10-02,Jawa Timur,Online,C00132,Retail,SYS-ONLINE,Networking,Router WiFi 6 R600,1,0.1,Completed,1200000.0,1080000.0,843600.0
ORD-100248,2024-10-02,Jakarta,Offline,C00089,UMKM,SR01,Laptop,Laptop Veno 13,4,0.0,Completed,6200000.0,24800000.0,22423200.0
ORD-100249,2024-10-02,Kalimantan,Online,C00660,Retail,SYS-ONLINE,Smartphone,Smartphone Lumo A5,1,0.0,Completed,2800000.0,2800000.0,2422400.0
ORD-100250,2024-10-02,Jatim,Offline,C00760,UMKM,SR08,Printer & Tinta,Printer InkJet P200,1,0.0,Completed,2100000.0,2100000.0,1693000.0
ORD-100251,2024-10-02,Jakarta,Online,C00913,UMKM,SYS-ONLINE,Smartphone,Smartphone Lumo A5,4,0.05,Completed,2800000.0,10640000.0,9590400.0
ORD-100252,2024-10-02,Jawa Barat,Offline,C01162,Retail,SR06,Smartphone,Smartphone Lumo A5,2,0.0,Completed,2800000.0,5600000.0,4810000.0
ORD-100494,2024-11-02,Jakarta,Online,C01369,UMKM,SYS-ONLINE,networking,Switch 8 Port S8,9,0.1,Completed,450000.0,3645000.0,
ORD-100495,2024-11-02,Jakarta,Offline,C00283,UMKM,SR02,Printer & Tinta,Tinta Botol Set CMYK,1,0.05,Completed,280000.0,266000.0,163300.0
ORD-100496,2024-11-02,Jawa Barat,Offline,C00376,Retail,SR04,Laptop,Laptop Axio 14,1,0.05,Completed,8500000.0,8075000.0,7663600.0
ORD-100497,2024-11-02,jakarta,Online,C00387,Retail,SYS-ONLINE,Smartphone,Smartphone Lumo X,2,0.05,Completed,5500000.0,10450000.0,9689600.0
ORD-100498,2024-11-02,Sumatera,Offline,C00625,Retail,SR10,Aksesoris,Keyboard Mekanik K7,2,0.0,Completed,650000.0,1300000.0,792800.0
ORD-100499,2024-11-02,Sumatera,Offline,C00056,Retail,SR10,Peralatan Kantor,Kursi Ergonomis E1,2,0.0,Completed,1900000.0,3800000.0,2576200.0
ORD-100500,2024-11-02,Sulawesi,Offline,C01415,Retail,SR16,Printer & Tinta,Tinta Botol Set CMYK,1,0.0,Completed,280000.0,280000.0,162700.0
ORD-100501,2024-11-02,Jakarta,Online,C00590,Retail,SYS-ONLINE,Aksesoris,Power Bank 20000mAh,2,0.05,Completed,320000.0,608000.0,401800.0
ORD-100502,2024-11-02,Jawa Barat,Online,C02025,Retail,SYS-ONLINE,Laptop,Laptop Axio 14,1,0.1,Completed,8500000.0,7650000.0,7635700.0
ORD-100503,2024-11-02,Jawa barat ,Offline,C00366,Retail,SR05,Printer & Tinta,Printer InkJet P200,2,0.05,Completed,2100000.0,3990000.0,3359600.0
ORD-100771,2024-12-02,Kalimantan,Online,C00586,UMKM,SYS-ONLINE,aksesoris ,Keyboard Mekanik K7,4,0.05,Completed,650000.0,2470000.0,1615200.0
ORD-100772,2024-12-02,kalimantan,Offline,C01836,Retail,SR13,Aksesoris,Power Bank 20000mAh,5,0.05,Completed,320000.0,1520000.0,995500.0
ORD-100773,2024-12-02,Jawa Barat,Online,C02087,Retail,SYS-ONLINE,Networking,Switch 8 Port S8,3,0.0,Completed,450000.0,1350000.0,904800.0
ORD-100774,2024-12-02,Jawa Timur,Offline,C00463,Retail,SR09,Smartphone,Smartphone Lumo X,1,0.0,Completed,5500000.0,5500000.0,
ORD-100775,2024-12-02,Kalimantan,Offline,C01702,UMKM,SR15,Smartphone,Smartphone Lumo A5,2,0.0,Completed,2800000.0,5600000.0,4816600.0
ORD-100776,2024-12-02,Jawa Timur,Offline,C01680,UMKM,SR08,Peralatan Kantor,Kertas A4 80gsm (rim),1,0.05,Completed,55000.0,52250.0,37500.0
ORD-100777,2024-12-02,Sulawesi,Offline,C01512,Retail,SR18,Laptop,Laptop Axio 14,1,0.05,Completed,8500000.0,8075000.0,7527200.0
ORD-100778,2024-12-02,Jakarta,Offline,C01903,UMKM,SR02,Aksesoris,Power Bank 20000mAh,12,0.0,Completed,320000.0,3840000.0,2395200.0
ORD-100779,2024-12-02,Sumatera,Online,C02343,UMKM,SYS-ONLINE,Aksesoris,Headset USB H3,2,0.0,Completed,350000.0,700000.0,425800.0
ORD-100018,2024-09-03,Kalimantan,Offline,C01219,UMKM,SR14,Networking,Router WiFi 6 R600,1,0.0,Completed,1200000.0,1200000.0,842100.0
ORD-100019,2024-09-03,Kalimantan,Offline,C00666,UMKM,SR15,Aksesoris,Mouse Wireless M20,1,10.0,Completed,180000.0,162000.0,103900.0
ORD-100020,2024-09-03,Jawa Timur,Offline,C01733,Retail,SR09,Peralatan Kantor,Kursi Ergonomis E1,1,0.0,Completed,1900000.0,1900000.0,1299000.0
ORD-100021,2024-09-03,Jawa Barat,Online,C01191,Retail,SYS-ONLINE,Laptop,Laptop Axio Pro 15,1,0.0,Cancelled,13000000.0,13000000.0,11794700.0
ORD-100022,2024-09-03,Jakarta,Offline,C01841,UMKM,SR02,Smartphone,Smartphone Lumo X,4,0.0,Completed,5500000.0,22000000.0,19289600.0
ORD-100023,2024-09-03,Jawa Barat,Offline,K0040,Korporat,SR06,Printer & Tinta,Printer InkJet P200,8,0.0,Completed,2100000.0,16800000.0,13581600.0
ORD-106984,2024-09-03,Kalimantan,Offline,C01219,UMKM,SR14,Networking,Router WiFi 6 R600,1,0.0,Completed,1200000.0,1200000.0,
ORD-100253,2024-10-03,Jakarta,Offline,C00339,Retail,SR01,Aksesoris,Keyboard Mekanik K7,1,0.0,Completed,650000.0,650000.0,402300.0
ORD-100254,2024-10-03,Sumatera,Offline,C00735,UMKM,SR10,Smartphone,Smartphone Lumo X,2,0.0,Completed,5500000.0,11000000.0,9598000.0
ORD-100504,2024-11-03,Sumatera,Offline,K0107,Korporat,SR12,Peralatan Kantor,Kertas A4 80gsm (rim),33,0.0,Completed,55000.0,1815000.0,1240800.0
ORD-100505,2024-11-03,Sumatera,Offline,C01228,UMKM,SR11,Smartphone,Smartphone Lumo A5,3,0.0,Completed,2800000.0,8400000.0,7302900.0
ORD-100506,2024-11-03,Jawa Timur,Online,C01279,Retail,SYS-ONLINE,Laptop,Laptop Axio 14,1,0.0,Completed,8500000.0,8500000.0,7683000.0
ORD-100507,2024-11-03,Sulawesi,Online,C01555,Retail,SYS-ONLINE,Aksesoris,Headset USB H3,2,0.15,Completed,350000.0,595000.0,414600.0
ORD-100508,2024-11-03,Jakarta,Offline,C01223,Retail,SR02,Laptop,Laptop Axio 14,1,0.0,Completed,8500000.0,8500000.0,7595700.0
ORD-100509,2024-11-03,Jawa Timur,Online,C00627,Retail,SYS-ONLINE,Smartphone,Smartphone Lumo A5,2,0.1,Completed,2800000.0,5040000.0,4878800.0
ORD-100510,2024-11-03,Jawa Barat,Offline,C00402,Retail,SR06,Aksesoris,Keyboard Mekanik K7,4,0.0,Completed,650000.0,2600000.0,1610800.0
ORD-100511,2024-11-03,Jawa Timur,Offline,C02120,Retail,SR07,Laptop,Laptop Axio Pro 15,1,5.0,Completed,13000000.0,12350000.0,11666400.0
ORD-100512,2024-11-03,Kalimantan,Offline,C01633,Retail,SR13,Peralatan Kantor,Kursi Ergonomis E1,3,0.1,Completed,1900000.0,5130000.0,3921600.0
ORD-100513,2024-11-03,Jakarta,Offline,C01808,UMKM,SR01,Smartphone,Smartphone Lumo X,1,0.0,Completed,5500000.0,5500000.0,4832900.0
RET-100443,2024-11-03,Jawa Barat,Offline,C01632,Retail,SR04,Networking,Router WiFi 6 R600,-1,0.05,Returned,1200000.0,-1140000.0,
ORD-100780,2024-12-03,Jakarta,Offline,C00356,UMKM,SR01,Peralatan Kantor,Kertas A4 80gsm (rim),8,0.1,Completed,55000.0,396000.0,303200.0
ORD-100781,2024-12-03,Sulawesi,Online,C00150,Retail,SYS-ONLINE,Peralatan Kantor,Kursi Ergonomis E1,2,0.05,Completed,1900000.0,3610000.0,2611800.0
ORD-100782,2024-12-03,Jawa Barat,Online,K0093,Korporat,SYS-ONLINE,Peralatan Kantor,Kertas A4 80gsm (rim),36,0.05,Completed,55000.0,1881000.0,1357200.0
ORD-100783,2024-12-03,Jawa Timur,Offline,C00462,Retail,SR08,Smartphone,Smartphone Lumo X,2,0.0,Completed,5500000.0,11000000.0,9581000.0
ORD-100784,2024-12-03,SULAWESI,Offline,C01758,Retail,SR16,Networking,Switch 8 Port S8,3,0.0,Completed,450000.0,1350000.0,
ORD-100785,2024-12-03,Jakarta,Offline,C00070,UMKM,SR02,Peralatan Kantor,Kursi Ergonomis E1,5,0.0,Completed,1900000.0,9500000.0,6501500.0
ORD-100786,2024-12-03,Jawa Barat,Offline,C00084,Retail,SR05,Peralatan Kantor,Kursi Ergonomis E1,5,0.05,Completed,1900000.0,9025000.0,6487500.0
ORD-100787,2024-12-03,Jawa Barat,Offline,C02003,Retail,SR04,Laptop,Laptop Axio 14,2,0.05,Completed,8500000.0,16150000.0,15158600.0
ORD-100788,2024-12-03,Jakarta,Online,C00240,Retail,SYS-ONLINE,Smartphone,Smartphone Lumo A5,1,0.0,Completed,2800000.0,2800000.0,2464300.0
ORD-100789,2024-12-03,Jawa Timur,E-Commerce,K0116,Korporat,SYS-ONLINE,Printer & Tinta,Tinta Botol Set CMYK,8,0.15,Completed,280000.0,1904000.0,1335200.0
ORD-100024,2024-09-04,Sulawesi,Online,C00581,UMKM,SYS-ONLINE,Peralatan Kantor,Kertas A4 80gsm (rim),11,0.05,Completed,55000.0,574750.0,419100.0
ORD-100025,2024-09-04,Sumatera,Offline,C00921,Retail,SR11,Laptop,Laptop Axio 14,1,5.0,Completed,8500000.0,8075000.0,7512800.0
ORD-100026,2024-09-04,Jakarta,Offline,C00487,Retail,SR03,Aksesoris,Mouse Wireless M20,1,0.0,Completed,180000.0,180000.0,104700.0
ORD-100027,2024-09-04,Jakarta,Offline,C00755,UMKM,SR01,Laptop,Laptop Axio 14,2,0.05,Completed,8500000.0,16150000.0,15262400.0
ORD-100028,2024-09-04,Jawa Timur,Offline,C02227,UMKM,SR07,Printer&Tinta,Printer InkJet P200,2,5.0,Completed,2100000.0,3990000.0,3391800.0
ORD-100029,2024-09-04,Sumatera,Online,C01166,UMKM,SYS-ONLINE,Printer & Tinta,Tinta Botol Set CMYK,2,0.05,Completed,280000.0,532000.0,328200.0
ORD-100255,2024-10-04,Jawa Barat,Online,C02085,Retail,SYS-ONLINE,Aksesoris,Mouse Wireless M20,4,0.0,Completed,180000.0,720000.0,425200.0
ORD-100256,2024-10-04,Jakarta,Offline,C00692,Retail,SR02,Printer & Tinta,Printer InkJet P200,2,0.05,Completed,2100000.0,3990000.0,3370800.0
ORD-100257,2024-10-04,Jawa Timur,Offline,C00672,UMKM,SR08,networking,Router WiFi 6 R600,7,0.05,Completed,1200000.0,7980000.0,
ORD-100258,2024-10-04,Jawa Barat,Offline,C01118,Retail,SR05,Networking,Router WiFi 6 R600,5,0.0,Completed,1200000.0,6000000.0,4306500.0
ORD-100259,2024-10-04,Sumatera,Online,C01241,Retail,SYS-ONLINE,aksesoris ,Headset USB H3,1,0.1,Completed,350000.0,315000.0,210100.0
ORD-100260,2024-10-04,Sumatera,Offline,C02228,Retail,SR11,Laptop,Laptop Veno 13,1,5.0,Completed,6200000.0,5890000.0,5489100.0
ORD-100261,2024-10-04,Jakarta,Online,C00980,UMKM,SYS-ONLINE,Aksesoris,Headset USB H3,14,0.05,Completed,350000.0,4655000.0,2949800.0
ORD-100262,2024-10-04,Sumatera,Offline,C00181,Retail,SR11,Laptop,Laptop Axio Pro 15,1,5.0,Completed,13000000.0,12350000.0,11680800.0
ORD-100263,2024-10-04,Jakarta,ONLINE,C01589,UMKM,SYS-ONLINE,Peralatan Kantor,Kursi Ergonomis E1,11,0.1,Completed,1900000.0,18810000.0,14267000.0
ORD-100264,2024-10-04,Jawa Barat,Offline,C00402,Retail,SR04,Printer & Tinta,Printer InkJet P200,2,0.05,Completed,2100000.0,3990000.0,3379000.0
ORD-100265,2024-10-04,Kalimantan,Offline,C02250,Retail,SR14,Aksesoris,Power Bank 20000mAh,2,0.0,Completed,320000.0,640000.0,405200.0
ORD-100514,2024-11-04,Jakarta,Offline,C01309,UMKM,SR02,Printer & Tinta,Tinta Botol Set CMYK,1,0.0,Completed,280000.0,280000.0,163200.0
ORD-100515,2024-11-04,Jawa Timur,Offline,C00855,Retail,SR09,Laptop,Laptop Axio 14,1,0.0,Completed,8500000.0,8500000.0,7501700.0
ORD-100516,2024-11-04,Jawa Timur,Offline,C00303,Retail,SR07,Smartphone,Smartphone Lumo X,1,5.0,Completed,5500000.0,5225000.0,4861600.0
ORD-100517,2024-11-04,Jakarta,Offline,C01534,Retail,SR03,Printer & Tinta,Printer InkJet P200,2,0.1,Completed,2100000.0,3780000.0,3419800.0
ORD-100518,2024-11-04,Jakarta,Offline,K0091,Korporat,SR01,Peralatan Kantor,Kertas A4 80gsm (rim),9,0.1,Completed,55000.0,445500.0,339300.0
ORD-100519,2024-11-04,Jakarta,Offline,C02186,Retail,SR02,Peralatan Kantor,Kertas A4 80gsm (rim),2,0.0,Cancelled,55000.0,110000.0,75800.0
ORD-100520,2024-11-04,Kalimantan,Offline,K0134,Korporat,SR15,Peralatan kantor,Kertas A4 80gsm (rim),18,10.0,Completed,55000.0,891000.0,684000.0
ORD-100521,2024-11-04,Kalimantan,Offline,C00414,Retail,SR15,Laptop,Laptop Axio Pro 15,1,0.0,Completed,13000000.0,13000000.0,11675000.0
ORD-100790,2024-12-04,Sulawesi,Offline,C01107,Retail,SR17,Networking,Router WiFi 6 R600,5,0.0,Completed,1200000.0,6000000.0,4218000.0
ORD-100791,2024-12-04,Jawa Timur,Offline,C00850,Retail,SR09,Laptop,Laptop Axio 14,1,0.1,Completed,8500000.0,7650000.0,7569500.0
ORD-100792,2024-12-04,Jawa Timur,Offline,C01424,UMKM,SR07,Smartphone,Smartphone Lumo A5,2,0.0,Completed,2800000.0,5600000.0,4867600.0
ORD-100793,2024-12-04,Kalimantan,Online,C00277,Retail,SYS-ONLINE,Laptop,Laptop Veno 13,1,0.0,Completed,6200000.0,6200000.0,5540800.0
ORD-100794,2024-12-04,Sulawesi,Online,C01951,UMKM,SYS-ONLINE,Aksesoris,Power Bank 20000mAh,4,0.05,Completed,320000.0,1216000.0,788800.0
ORD-100795,2024-12-04,Jawa Barat,Online,C00381,Retail,SYS-ONLINE,Peralatan Kantor,Kertas A4 80gsm (rim),1,0.1,Completed,55000.0,49500.0,38200.0
ORD-100796,2024-12-04,Jakarta,Offline,C01717,Retail,SR02,Smartphone,Smartphone Lumo X,2,0.1,Completed,5500000.0,9900000.0,
ORD-100797,2024-12-04,Jawa Barat,Offline,C02061,Retail,SR06,Laptop,Laptop Axio Pro 15,1,0.0,Completed,13000000.0,13000000.0,11708000.0
ORD-100798,2024-12-04,Sulawesi,Online,C01927,Retail,SYS-ONLINE,Laptop,Laptop Axio Pro 15,1,0.0,Completed,13000000.0,13000000.0,11616900.0
ORD-100799,2024-12-04,Kalimantan,Offline,C01092,Retail,SR14,Peralatan Kantor,Kertas A4 80gsm (rim),2,0.0,Completed,55000.0,110000.0,77000.0
ORD-100800,2024-12-04,Jawa Barat,Offline,C01196,Retail,SR05,Peralatan Kantor,Kursi Ergonomis E1,4,0.0,Completed,1900000.0,7600000.0,5176400.0
ORD-100801,2024-12-04,Jawa Barat,Online,C01956,UMKM,SYS-ONLINE,Peralatan Kantor,Kertas A4 80gsm (rim),11,0.1,Completed,55000.0,544500.0,413600.0
ORD-100802,2024-12-04,Jakarta,Offline,C01828,Retail,SR03,Smartphone,Smartphone Lumo X,1,0.0,Completed,5500000.0,5500000.0,4777900.0
ORD-100803,2024-12-04,Sumatera,Offline,K0165,Korporat,SR11,Peralatan Kantor,Kertas A4 80gsm (rim),41,0.0,Completed,55000.0,2255000.0,
ORD-100804,2024-12-04,Sulawesi,Offline,C00711,Retail,SR17,Networking,Switch 8 Port S8,1,0.0,Completed,450000.0,450000.0,
ORD-100805,2024-12-04,Jakarta,Offline,C02190,UMKM,SR03,Laptop,Laptop Axio 14,4,0.0,Completed,8500000.0,34000000.0,30032400.0
ORD-100806,2024-12-04,Jawa Timur,Offline,K0097,Korporat,SR09,Laptop,Laptop Veno 13,7,0.05,Completed,6200000.0,41230000.0,
ORD-100030,2024-09-05,Jabar,Offline,C02231,UMKM,SR05,Printer & Tinta,Tinta Botol Set CMYK,5,0.0,Completed,280000.0,1400000.0,819500.0
ORD-100031,2024-09-05,Jawa Timur,Online,C01488,UMKM,SYS-ONLINE,Printer & Tinta,Tinta Botol Set CMYK,2,0.1,Completed,280000.0,504000.0,329000.0
ORD-100032,2024-09-05,Sumatera,Offline,C02115,Retail,SR11,Aksesoris,Power Bank 20000mAh,5,0.0,Completed,320000.0,1600000.0,1014000.0
ORD-100033,2024-09-05,Sulawesi,Offline,C00343,UMKM,SR16,Aksesoris,Headset USB H3,7,0.0,Completed,350000.0,2450000.0,1457400.0
ORD-100034,2024-09-05,Jakarta,Offline,C00473,Retail,SR03,Aksesoris,Keyboard Mekanik K7,4,0.05,Completed,650000.0,2470000.0,1584800.0
ORD-100035,2024-09-05,Jawa Timur,Online,C01705,Retail,SYS-ONLINE,Aksesoris,Keyboard Mekanik K7,1,0.05,Completed,650000.0,617500.0,395500.0
ORD-100036,2024-09-05,Jabar,Offline,C01650,Retail,SR06,Aksesoris,Mouse Wireless M20,4,0.1,Completed,180000.0,648000.0,414000.0
ORD-106980,2024-09-05,Jawa Timur,Online,C01488,UMKM,SYS-ONLINE,Printer & Tinta,Tinta Botol Set CMYK,2,0.1,Completed,280000.0,504000.0,331600.0
RET-100014,2024-09-05,Jawa Barat,Offline,C01329,UMKM,SR05,Peralatan Kantor,Kursi Ergonomis E1,-6,0.0,Returned,1900000.0,-11400000.0,-7766400.0
ORD-100266,2024-10-05,Sumatera,Offline,K0145,Korporat,SR11,Peralatan Kantor,Kertas A4 80gsm (rim),16,5.0,Completed,55000.0,836000.0,604800.0
ORD-100267,2024-10-05,Jakarta,Offline,K0048,Korporat,SR03,Smartphone,Smartphone Lumo A5,7,0.0,Completed,2800000.0,19600000.0,16988300.0
ORD-100268,2024-10-05,Kalimantan,Offline,C00614,UMKM,SR13,Peralatan Kantor,Kertas A4 80gsm (rim),9,0.0,Completed,55000.0,495000.0,344700.0
ORD-100269,2024-10-05,Jakarta,Offline,C01104,UMKM,SR03,Smartphone,Smartphone Lumo X,2,0.0,Completed,5500000.0,11000000.0,9475800.0
ORD-100270,2024-10-05,Jawa Timur,Online,C01309,Retail,SYS-ONLINE,Aksesoris,Headset USB H3,3,0.05,Completed,350000.0,997500.0,630000.0
ORD-100270,2024-10-05,Jawa Timur,Online,C01309,Retail,SYS-ONLINE,Aksesoris,Headset USB H3,3,0.05,Completed,350000.0,997500.0,630000.0
ORD-100271,2024-10-05,Jawa Barat,Offline,C02268,UMKM,SR05,Smartphone,Smartphone Lumo A5,3,0.1,Completed,2800000.0,7560000.0,7329600.0
ORD-100272,2024-10-05,Jawa Timur,Offline,C00245,Retail,SR09,Peralatan Kantor,Kertas A4 80gsm (rim),1,0.0,Completed,55000.0,55000.0,38400.0
ORD-100522,2024-11-05,Jawa Barat,Offline,C00191,UMKM,SR06,Printer & Tinta,Printer InkJet P200,4,0.0,Completed,2100000.0,8400000.0,6707200.0
ORD-100523,2024-11-05,Sumatera,Offline,C01397,UMKM,SR10,Aksesoris,Mouse Wireless M20,2,0.1,Completed,180000.0,324000.0,207400.0
ORD-100524,2024-11-05,Kalimantan,Offline,C01431,Retail,SR15,Peralatan Kantor,Kertas A4 80gsm (rim),4,0.0,Completed,55000.0,220000.0,150000.0
ORD-100525,2024-11-05,Jakarta,Offline,C02025,Retail,SR02,Printer & Tinta,Printer InkJet P200,2,0.05,Completed,2100000.0,3990000.0,3426400.0
ORD-100525,2024-11-05,Jakarta,Offline,C02025,Retail,SR02,Printer & Tinta,Printer InkJet P200,2,0.05,Completed,2100000.0,3990000.0,3426400.0
